legacyId,parentId,qubitParentSlug,levelOfDescription,digitalObjectPath,digitalObjectURI,title,description,creator,date
,,,item,etd2011/anunobi.pdf,,"Digitization efforts in the Federal University of Technology Owerri (Futo): successes, challenges, prospects",,Chinwe Anunobi|Collette Onyebinama,2011
,,,item,etd2011/mcmillan.pdf,,Do ETDs deter publishers? Does web availability count as prior publication?,,Marisa Ramirez|Gail Mcmillan|Joan Dalton|Nancy Seamans|Max Read,2011
,,,item,etd2011/olivier.pdf,,The dot on the i: reflections of a postgraduate student and repository manager on the etd process at the University of Pretoria,,Elsabé Olivier|Ina Louw,2011
,,,item,etd2011/rama.pdf,,Thesis and dissertations management overview in Kosovo,,Shukrije Rama,2011
,,,item,etd2011/corletey.pdf,,Institutional repositories for open access: the Ghanaian experience,,Abednego Corletey,2011
,,,item,,,"Electronic theses and dissertations in Nigeria University Libraries: status, challenges and strategies",,Ifeanyi J Ezema|Cyprian Ugwu,2011
,,,item,,,Creative partnerships to advance graduate research in the digital age,,John Hagen,2011
,,,item,etd2011/thuku.pdf,,Towards a National ETD Database: responsibilities of the libraries in Kenya,,John Thuku,2011
,,,item,etd2011/ackermann.pdf,,"First a trial balloon, now an established workflow: collecting electronic thesis at the German National Library",,Uta Ackermann,2011
,,,item,,,CARPET - a Directory of Generic Publishing Tools,,Peter Schirmbacher,2011
,,,item,etd2011/webley.pdf,,Creating a National Electronic Thesis & Dissertation Portal in South Africa,,Lawrence Webley|Hussein Suleman|Tatenda Chipeperekwa,2011
,,,item,etd2011/otando.pdf,,Building institutional repositories in KLISC Member Institutions in Kenya: emerging challenges,,Rosemary Otando,2011
,,,item,etd2011/dolan.pdf,,Assessing awareness of repositories and the Open Access Movement among ETD Faculty Advisors,,Molly Dolan,2011
,,,item,etd2011/parkfox.pdf,,Enriching the VT ETD-db System with references,,Sung Hee Park|Edward A. Fox,2011
,,,item,etd2011/alsalmi.pdf,,Social factors influencing the adoption and development of Electronic Theses and Dissertations (ETD) programmes in the Arab Gulf States,,Jamal Alsalmi|Dr Chern Li Liew|Brenda Chawner,2011
,,,item,etd2011/phillips.pdf,,"Data desiccation: facilitating long-term access, use, and reuse of ETDs",,Daniel Alemneh|Mark Phillips,2011
,,,item,etd2011/macha.pdf,,Two South African institutional repositories: a comparative overview,,Annah Macha|Karin De Jager,2011
,,,item,etd2011/pavani.pdf,,"Examining access by country, language and areas of knowledge",,Ana Pavani,2011
,,,item,etd2011/greenberg.pdf,,Where Sharing Should Not Go: An Environmental Scan of Originality Assurance Awareness and Efforts to Discourage or Prevent Plagiarism,,Charles Greenberg|Austin Mclean,2011
,,,item,etd2011/srinivasan.pdf,,Improving accessibility to collections of electronic theses and dissertations,,Venkat Srinivasan|Edward Fox,2011
,,,item,,,University digital scholarship centers and support for graduate thesis and dissertation work,,Joan Lippincott,2011
,,,item,etd2011/park.pdf,,VT ETD-db 2.0: rewriting ETD-db system,,Sung Hee Park|Paul Mather|Kimberli D. Weeks|Edward A. Fox|Gail Mcmillan,2011
,,,item,,,The role of stakeholders: electronic theses and dissertations submission workflow for the University of Johannesburg,,Lazarus Matizirofa,2011
,,,item,etd2011/hirwade.pdf,,Digitization of theses and dissertations: status quo India,,Dr Mangala Hirwade,2011
,,,item,,,Panel on plans related to the NDLTD Union Catalog,,Edward Fox,2011
